order,plot,snow,plotid,temp,plant,plantid,status_tagged,status_census21
1,1,normal,1B,control,652,1B652,F,F
64,1,normal,1B,control,659,1B659,V,V
65,1,normal,1B,control,661,1B661,V,V
2,1,normal,1B,control,665,1B665,F,V
3,1,normal,1B,control,666,1B666,F,F
66,1,normal,1B,control,669,1B669,V,V
67,1,normal,1B,control,674,1B674,V,V
4,1,normal,1B,control,947,1B947,F,F
5,1,normal,1B,OTC,677,1B677,F,F
6,1,normal,1B,OTC,684,1B684,F,F
68,1,normal,1B,OTC,919,1B919,V,V
69,1,normal,1B,OTC,920,1B920,V,#N/A
7,1,normal,1B,OTC,950,1B950,F,F
70,1,normal,1C,control,48,1C48,V,V
71,1,normal,1C,control,55,1C55,V,V
8,1,normal,1C,control,57,1C57,F,F
72,1,normal,1C,control,71,1C71,V,V
73,1,normal,1C,control,73,1C73,V,V
9,1,normal,1C,control,948,1C948,F,F
10,1,normal,1C,control,949,1C949,F,F
11,1,normal,1C,OTC,49,1C49,F,F
12,1,normal,1C,OTC,53,1C53,F,F
13,1,normal,1C,OTC,901,1C901,F,F
14,1,normal,1C,OTC,951,1C951,F,F
74,2,early,2A,control,95,2A95,V,V
75,2,early,2A,control,99,2A99,V,V
76,2,early,2A,control,176,2A176,V,V
15,2,early,2A,OTC,902,2A902,F,F
16,2,early,2A,control,903,2A903,F,F
77,2,early,2A,control,923,2A923,V,V
78,2,early,2A,OTC,922,2A922,V,V
79,2,early,2B,control,87,2B87,V,V
17,2,early,2B,control,93,2B93,F,F
18,2,early,2B,control,905,2B905,F,F
80,2,early,2B,control,924,2B924,V,V
81,2,early,2B,control,925,2B925,V,V
82,2,early,2B,control,926,2B926,V,V
83,2,early,2B,OTC,137,2B137,V,V
84,2,early,2B,OTC,180,2B180,V,V
19,2,early,2B,OTC,184,2B184,F,F
85,2,early,2B,OTC,185,2B185,V,V
86,2,early,2B,OTC,196,2B196,V,O
20,2,early,2B,OTC,904,2B904,F,F
87,3,normal,3B,control,607,3B607,V,V
88,3,normal,3B,control,612,3B612,V,V
21,3,normal,3B,control,623,3B623,F,F
22,3,normal,3B,control,624,3B624,F,D
89,3,normal,3B,control,822,3B822,V,V
90,3,normal,3B,control,835,3B835,V,V
23,3,normal,3B,control,952,3B952,F,F
24,3,normal,3B,OTC,821,3B821,F,F
91,3,normal,3B,OTC,837,3B837,V,V
25,3,normal,3B,OTC,906,3B906,F,F
92,3,normal,3B,OTC,918,3B918,V,#N/A
26,3,normal,3D,control,255,3D255,F,F
93,3,normal,3D,control,852,3D852,V,V
94,3,normal,3D,control,856,3D856,V,O
27,3,normal,3D,control,858,3D858,F,NF
95,3,normal,3D,control,865,3D865,V,V
28,3,normal,3D,control,895,3D895,F,F
96,3,normal,3D,control,915,3D915,V,V
97,3,normal,3D,OTC,863,3D863,V,V
29,3,normal,3D,OTC,888,3D888,F,F
98,3,normal,3D,OTC,890,3D890,V,V
30,3,normal,3D,OTC,891,3D891,F,F
31,3,normal,3D,OTC,894,3D894,F,F
99,3,normal,3D,OTC,916,3D916,V,V
100,3,normal,3D,OTC,917,3D917,V,V
32,4,early,4B,control,190,4B190,F,F
101,4,early,4B,control,201,4B201,V,O
33,4,early,4B,control,203,4B203,F,O
34,4,early,4B,control,204,4B204,F,O
102,4,early,4B,control,213,4B213,V,V
103,4,early,4B,control,929,4B929,V,V
104,4,early,4B,control,930,4B930,V,V
35,4,early,4B,control,954,4B954,F,F
36,4,early,4B,control,955,4B955,F,F
37,4,early,4B,control,956,4B956,F,F
38,4,early,4B,OTC,171,4B171,F,O
39,4,early,4B,OTC,168,4B168,F,O
105,4,early,4B,OTC,170,4B170,V,O
106,4,early,4B,OTC,172,4B172,V,V
40,4,early,4B,OTC,173,4B173,F,F
107,4,early,4B,OTC,927,4B927,V,V
108,4,early,4B,OTC,928,4B928,V,V
41,4,early,4B,OTC,953,4B953,F,F
109,4,early,4C,control,33,4C33,V,V
110,4,early,4C,control,34,4C34,V,V
111,4,early,4C,control,105,4C105,V,V
42,4,early,4C,control,120,4C120,F,F
43,4,early,4C,control,190,4C190,F,F
112,4,early,4C,control,213,4C213,V,V
44,4,early,4C,control,627,4C627,F,F
45,4,early,4C,control,957,4C957,F,F
46,4,early,4C,OTC,106,4C106,F,F
47,4,early,4C,OTC,108,4C108,F,F
113,4,early,4C,OTC,122,4C122,V,TNF
48,4,early,4C,OTC,914,4C914,F,F
114,4,early,4C,OTC,931,4C931,V,V
115,4,early,4C,OTC,932,4C932,V,V
116,4,early,4C,OTC,933,4C933,V,V
49,5,early,5B,control,7,5B7,F,F
117,5,early,5B,control,10,5B10,V,V
50,5,early,5B,control,907,5B907,F,F
118,5,early,5B,control,936,5B936,V,V
119,5,early,5B,control,937,5B937,V,V
120,5,early,5B,control,938,5B938,V,V
121,5,early,5B,OTC,295,5B295,V,V
51,5,early,5B,OTC,908,5B908,F,F
52,5,early,5B,OTC,909,5B909,F,F
122,5,early,5B,OTC,939,5B939,V,V
123,5,early,5B,OTC,940,5B940,V,V
124,5,early,5D,control,244,5D244,V,V
53,5,early,5D,control,251,5D251,F,O
125,5,early,5D,control,254,5D254,V,O
126,5,early,5D,control,281,5D281,V,V
127,5,early,5D,control,285,5D285,V,V
54,5,early,5D,control,911,5D911,F,F
128,5,early,5D,OTC,271,5D271,V,V
129,5,early,5D,OTC,274,5D274,V,V
55,5,early,5D,OTC,277,5D277,F,O
56,5,early,5D,OTC,910,5D910,F,F
130,5,early,5D,OTC,934,5D934,V,V
131,5,early,5D,OTC,935,5D935,V,V
57,6,normal,6A,control,131,6A131,F,F
132,6,normal,6A,control,141,6A141,V,V
133,6,normal,6A,control,159,6A159,V,V
134,6,normal,6A,control,168,6A168,V,V
135,6,normal,6A,control,169,6A169,V,V
58,6,normal,6A,OTC,912,6A912,F,F
136,6,normal,6A,OTC,944,6A944,V,V
137,6,normal,6A,OTC,945,6A945,V,V
138,6,normal,6A,OTC,946,6A946,V,V
139,6,normal,6C,control,117,6C117,V,V
60,6,normal,6C,control,913,6C913,F,F
140,6,normal,6C,control,941,6C941,V,V
141,6,normal,6C,control,942,6C942,V,V
142,6,normal,6C,control,943,6C943,V,V
143,6,normal,6C,OTC,79,6C79,V,V
61,6,normal,6C,OTC,81,6C81,F,F
144,6,normal,6C,OTC,83,6C83,V,NF
62,6,normal,6C,OTC,90,6C90,F,F
145,6,normal,6C,OTC,91,6C91,V,V
63,6,normal,6C,OTC,95,6C95,F,F
146,6,normal,6C,OTC,98,6C98,V,V