"","plant","plantid","order","plot","snow","plotid","temp","status_tagged","status_census21","seeds","fruits","fruits_split","aborts","fruits_fly_no_seeds","fruits_fly_with_seeds","seeds_fly","fruits_caterpillar","fruits_early_uncountable","flowers_buds","flowers_buds_collected_early","flowers_buds_collected_last","dates","seeds_per_fruit","fruits_aborted","seeds_est","fruits_with_seeds","fruits_nonaborted","flowers_est","prop_infested","prop_aborted","prop_nonaborted","seeds_per_flower"
"1","106","4C106",46,"4","early","4C","warmed","F","F",6,1,6,34,0,0,0,0,0,0,0,0,2,6,34,42,7,13,47,0,0.723404255319149,0.276595744680851,0.893617021276596
"2","108","4C108",47,"4","early","4C","warmed","F","F",14,2,1,28,0,0,0,0,0,2,0,2,2,7,30,21,3,4,34,0,0.882352941176471,0.117647058823529,0.617647058823529
"3","120","4C120",42,"4","early","4C","control","F","F",22,3,7,18,4,0,0,0,0,0,0,0,4,7.33333333333333,18,73.3333333333333,10,21,39,0.19047619047619,0.461538461538462,0.538461538461538,1.88034188034188
"4","131","6A131",57,"6","normal","6A","control","F","F",65,10,5,6,2,0,0,0,0,0,0,0,4,6.5,6,97.5,15,22,28,0.0909090909090909,0.214285714285714,0.785714285714286,3.48214285714286
"5","168","4B168",39,"4","early","4B","warmed","F","O",32,6,1,26,0,0,0,0,1,1,0,1,4,5.33333333333333,27,38.3030303030303,7,8,35,0,0.771428571428571,0.228571428571429,1.09437229437229
"6","171","4B171",38,"4","early","4B","warmed","F","O",108,23,26,39,3,0,0,0,1,0,0,0,4,4.69565217391304,39,231.748494983278,49,78,117,0.0384615384615385,0.333333333333333,0.666666666666667,1.98075636737844
"7","173","4B173",40,"4","early","4B","warmed","F","F",63,11,9,19,5,0,0,0,0,5,1,4,4,5.72727272727273,23,116.160839160839,20,34,58,0.147058823529412,0.403508771929825,0.596491228070175,2.00277308897999
"8","184","2B184",19,"2","early","2B","warmed","F","F",0,0,2,15,0,0,0,0,1,1,0,1,1,NA,16,NA,2,4,20,0,0.8,0.2,NA
"9","190","4B190",32,"4","early","4B","control","F","F",0,0,2,11,1,0,0,0,2,1,0,1,3,NA,12,NA,2,5,17,0.2,0.705882352941177,0.294117647058824,NA
"10","190","4C190",43,"4","early","4C","control","F","F",10,2,16,9,16,0,0,0,1,0,0,0,5,5,9,90.3703703703704,18,50,59,0.32,0.152542372881356,0.847457627118644,1.53170119271814
"11","203","4B203",33,"4","early","4B","control","F","O",0,0,0,0,0,0,0,0,1,24,0,24,1,NA,24,NA,0,0,24,NA,1,0,NA
"12","204","4B204",34,"4","early","4B","control","F","O",47,6,3,18,1,0,0,0,1,6,1,5,4,7.83333333333333,23,73.6333333333333,9,13,37,0.0769230769230769,0.638888888888889,0.361111111111111,1.99009009009009
"13","251","5D251",53,"5","early","5D","control","F","O",9,2,1,12,1,0,0,0,0,8,0,8,3,4.5,20,13.5,3,5,25,0.2,0.8,0.2,0.54
"14","255","3D255",26,"3","normal","3D","control","F","F",1,1,1,30,0,0,0,0,0,8,0,8,3,1,38,2,2,3,41,0,0.926829268292683,0.0731707317073171,0.0487804878048781
"15","277","5D277",55,"5","early","5D","warmed","F","O",36,4,18,21,5,0,0,0,0,0,0,0,3,9,21,198,22,45,66,0.111111111111111,0.318181818181818,0.681818181818182,3
"16","49","1C49",11,"1","normal","1C","warmed","F","F",0,0,1,24,1,0,0,2,0,0,0,0,3,NA,24,NA,1,5,29,0.6,0.827586206896552,0.172413793103448,NA
"17","53","1C53",12,"1","normal","1C","warmed","F","F",16,1,5,41,0,0,0,0,0,1,0,1,3,16,42,96,6,11,53,0,0.792452830188679,0.207547169811321,1.81132075471698
"18","57","1C57",8,"1","normal","1C","control","F","F",22,8,7,26,2,0,0,0,0,0,0,0,4,2.75,26,41.25,15,24,50,0.0833333333333333,0.52,0.48,0.825
"19","623","3B623",21,"3","normal","3B","control","F","F",21,2,24,17,1,1,1,0,0,3,0,3,4,10.5,20,274,27,52,72,0.0384615384615385,0.277777777777778,0.722222222222222,3.80555555555556
"20","624","3B624",22,"3","normal","3B","control","F","D",13,4,5,15,1,0,0,0,0,0,0,0,4,3.25,15,29.25,9,15,30,0.0666666666666667,0.5,0.5,0.975
"21","627","4C627",44,"4","early","4C","control","F","F",68,9,3,17,4,1,5,0,1,0,0,0,4,7.55555555555556,17,97.8602150537634,13,20,37,0.25,0.459459459459459,0.540540540540541,2.64487067712874
"22","666","1B666",3,"1","normal","1B","control","F","F",35,4,24,18,17,0,0,2,0,0,0,0,5,8.75,18,245,28,71,89,0.267605633802817,0.202247191011236,0.797752808988764,2.75280898876404
"23","674","1B674",67,"1","normal","1B","control","V","V",0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,1,3,3,0.333333333333333,0,1,NA
"24","677","1B677",5,"1","normal","1B","warmed","F","F",108,16,13,17,0,0,0,1,0,0,0,0,4,6.75,17,195.75,29,43,60,0.0232558139534884,0.283333333333333,0.716666666666667,3.2625
"25","684","1B684",6,"1","normal","1B","warmed","F","F",58,7,2,15,0,0,0,0,0,0,0,0,2,8.28571428571429,15,74.5714285714286,9,11,26,0,0.576923076923077,0.423076923076923,2.86813186813187
"26","7","5B7",49,"5","early","5B","control","F","F",46,6,3,11,1,0,0,0,0,0,0,0,2,7.66666666666667,11,69,9,13,24,0.0769230769230769,0.458333333333333,0.541666666666667,2.875
"27","81","6C81",61,"6","normal","6C","warmed","F","F",40,15,13,18,0,0,0,0,2,2,2,0,3,2.66666666666667,18,79.5151515151515,28,41,61,0,0.305084745762712,0.694915254237288,1.30352707401888
"28","821","3B821",24,"3","normal","3B","warmed","F","F",7,1,7,23,0,0,0,2,0,0,0,0,3,7,23,56,8,17,40,0.117647058823529,0.575,0.425,1.4
"29","858","3D858",27,"3","normal","3D","control","F","NF",65,15,8,18,6,0,0,0,0,0,0,0,4,4.33333333333333,18,99.6666666666667,23,37,55,0.162162162162162,0.327272727272727,0.672727272727273,1.81212121212121
"30","888","3D888",29,"3","normal","3D","warmed","F","F",52,11,22,17,1,0,0,0,0,3,0,3,5,4.72727272727273,20,156,33,56,76,0.0178571428571429,0.263157894736842,0.736842105263158,2.05263157894737
"31","891","3D891",30,"3","normal","3D","warmed","F","F",0,0,2,0,0,0,0,0,0,0,0,0,1,NA,0,NA,2,4,4,0,0,1,NA
"32","894","3D894",31,"3","normal","3D","warmed","F","F",44,6,3,1,1,0,0,3,0,0,0,0,2,7.33333333333333,1,66,9,16,17,0.25,0.0588235294117647,0.941176470588235,3.88235294117647
"33","895","3D895",28,"3","normal","3D","control","F","F",0,0,2,11,0,0,0,0,0,4,4,0,2,NA,11,NA,2,4,19,0,0.733333333333333,0.266666666666667,NA
"34","90","6C90",62,"6","normal","6C","warmed","F","F",20,9,2,11,0,0,0,0,0,5,0,5,2,2.22222222222222,16,24.4444444444444,11,13,29,0,0.551724137931034,0.448275862068966,0.842911877394636
"35","901","1C901",13,"1","normal","1C","warmed","F","F",0,0,1,4,0,0,0,0,0,3,0,3,2,NA,7,NA,1,2,9,0,0.777777777777778,0.222222222222222,NA
"36","902","2A902",15,"2","early","2A","warmed","F","F",124,21,43,35,9,1,1,0,1,1,0,1,5,5.90476190476191,36,380.755508173419,65,117,153,0.0854700854700855,0.235294117647059,0.764705882352941,2.48859809263672
"37","903","2A903",16,"2","early","2A","control","F","F",75,13,27,6,9,0,0,0,0,0,0,0,4,5.76923076923077,6,230.769230769231,40,76,82,0.118421052631579,0.0731707317073171,0.926829268292683,2.81425891181989
"38","904","2B904",20,"2","early","2B","warmed","F","F",0,0,0,11,0,0,0,0,0,0,0,0,1,NA,11,NA,0,0,11,NA,1,0,NA
"39","905","2B905",18,"2","early","2B","control","F","F",54,14,16,22,3,0,0,1,2,2,0,2,5,3.85714285714286,24,118.285714285714,30,50,74,0.08,0.324324324324324,0.675675675675676,1.5984555984556
"40","906","3B906",25,"3","normal","3B","warmed","F","F",8,2,68,22,2,0,0,0,0,13,0,13,4,4,35,280,70,140,175,0.0142857142857143,0.2,0.8,1.6
"41","907","5B907",50,"5","early","5B","control","F","F",87,16,38,10,16,0,0,4,0,0,0,0,5,5.4375,10,293.625,54,112,122,0.178571428571429,0.0819672131147541,0.918032786885246,2.40676229508197
"42","908","5B908",51,"5","early","5B","warmed","F","F",209,38,34,32,6,0,0,4,1,3,0,3,5,5.5,35,398.518072289157,72,116,151,0.0862068965517241,0.231788079470199,0.768211920529801,2.63919253171627
"43","909","5B909",52,"5","early","5B","warmed","F","F",14,2,3,30,0,0,0,1,0,0,0,0,4,7,30,35,5,9,39,0.111111111111111,0.769230769230769,0.230769230769231,0.897435897435897
"44","91","6C91",145,"6","normal","6C","warmed","V","V",12,3,1,3,0,0,0,0,0,0,0,0,1,4,3,16,4,5,8,0,0.375,0.625,2
"45","910","5D910",56,"5","early","5D","warmed","F","F",35,7,38,35,2,0,0,3,1,8,0,8,5,5,43,225.636363636364,45,88,131,0.0568181818181818,0.32824427480916,0.67175572519084,1.72241498959056
"46","911","5D911",54,"5","early","5D","control","F","F",184,15,15,10,4,0,0,0,0,0,0,0,4,12.2666666666667,10,368,30,49,59,0.0816326530612245,0.169491525423729,0.830508474576271,6.23728813559322
"47","912","6A912",58,"6","normal","6A","warmed","F","F",39,3,8,16,2,0,0,1,1,2,0,2,5,13,18,144.625,11,22,40,0.136363636363636,0.45,0.55,3.615625
"48","913","6C913",60,"6","normal","6C","control","F","F",76,13,23,24,8,0,0,0,0,0,0,0,5,5.84615384615385,24,210.461538461538,36,67,91,0.119402985074627,0.263736263736264,0.736263736263736,2.31276415891801
"49","914","4C914",48,"4","early","4C","warmed","F","F",5,1,0,12,0,0,0,1,0,1,0,1,3,5,13,5,1,2,15,0.5,0.866666666666667,0.133333333333333,0.333333333333333
"50","93","2B93",17,"2","early","2B","control","F","F",211,29,23,23,27,1,3,0,4,0,0,0,5,7.27586206896552,23,391.894827586207,53,103,126,0.271844660194175,0.182539682539683,0.817460317460317,3.11027640941434
"51","947","1B947",4,"1","normal","1B","control","F","F",0,0,0,1,0,0,0,0,0,0,0,0,1,NA,1,NA,0,0,1,NA,1,0,NA
"52","948","1C948",9,"1","normal","1C","control","F","F",58,13,21,32,9,0,0,2,2,0,0,0,5,4.46153846153846,32,153.763736263736,34,66,98,0.166666666666667,0.326530612244898,0.673469387755102,1.5690177169769
"53","949","1C949",10,"1","normal","1C","control","F","F",58,19,20,43,5,0,0,0,1,10,2,8,4,3.05263157894737,51,121.372631578947,39,64,117,0.078125,0.443478260869565,0.556521739130435,1.03737291947818
"54","95","6C95",63,"6","normal","6C","warmed","F","F",3,1,5,8,1,0,0,0,0,6,0,6,3,3,14,18,6,12,26,0.0833333333333333,0.538461538461538,0.461538461538462,0.692307692307692
"55","950","1B950",7,"1","normal","1B","warmed","F","F",55,6,7,0,9,1,5,2,0,0,0,0,4,9.16666666666667,0,124.166666666667,14,32,32,0.375,0,1,3.88020833333333
"56","951","1C951",14,"1","normal","1C","warmed","F","F",31,3,10,38,1,0,0,10,1,0,0,0,4,10.3333333333333,38,134.929487179487,13,34,72,0.323529411764706,0.527777777777778,0.472222222222222,1.87402065527066
"57","952","3B952",23,"3","normal","3B","control","F","F",58,12,14,39,1,0,0,1,0,8,0,8,4,4.83333333333333,47,125.666666666667,26,42,89,0.0476190476190476,0.528089887640449,0.471910112359551,1.41198501872659
"58","953","4B953",41,"4","early","4B","warmed","F","F",44,9,26,34,0,0,0,0,1,4,1,3,5,4.88888888888889,37,173.024154589372,35,61,99,0,0.377551020408163,0.622448979591837,1.74771873322598
"59","954","4B954",35,"4","early","4B","control","F","F",0,0,5,41,1,0,0,0,8,46,0,46,3,NA,87,NA,5,11,98,0.0909090909090909,0.887755102040816,0.112244897959184,NA
"60","955","4B955",36,"4","early","4B","control","F","F",83,10,2,15,3,0,0,0,0,3,0,3,4,8.3,18,99.6,12,17,35,0.176470588235294,0.514285714285714,0.485714285714286,2.84571428571429
"61","956","4B956",37,"4","early","4B","control","F","F",45,18,25,25,5,0,0,0,4,7,0,7,5,2.5,32,110.772727272727,43,73,105,0.0684931506849315,0.304761904761905,0.695238095238095,1.05497835497836
"62","957","4C957",45,"4","early","4C","control","F","F",59,7,10,12,5,0,0,0,0,0,0,0,4,8.42857142857143,12,143.285714285714,17,32,44,0.15625,0.272727272727273,0.727272727272727,3.25649350649351
