file,year,site,n1,n2,n3,owner,id,plotid,temp,serial,plant_near,notes
2018/bb/Hobo19-bbJinside-SN10542012.csv,2018,bb,Hobo19,bbJinside,SN10542012,UR,19,J,OTC,10542012,,
2018/bb/Hobo27-bbHinside-SN10793179.csv,2018,bb,Hobo27,bbHinside,SN10793179,UR,27,H,OTC,10793179,,
2018/bb/Hobo29-bbFout-SN10793181.csv,2018,bb,Hobo29,bbFout,SN10793181,UR,29,F,control,10793181,,
2018/bb/Hobo7-bbIinside-SN10542008.csv,2018,bb,Hobo7,bbIinside,SN10542008,UR,7,I,OTC,10542008,,"drop, last record 2018-07-13"
2018/bb/HoboDC101-bbFout-SN1027086.csv,2018,bb,HoboDC101,bbFout,SN1027086,DC,101,F,control,1027086,,
2018/bb/HoboDC102-bbGinside-SN2006529.csv,2018,bb,HoboDC102,bbGinside,SN2006529,DC,102,G,OTC,2006529,,
2018/bb/HoboDC103-bbHout-SN2006533.csv,2018,bb,HoboDC103,bbHout,SN2006533,DC,103,H,control,2006533,,
2018/bb/HoboDC104-bbIout-SN1027087.csv,2018,bb,HoboDC104,bbIout,SN1027087,DC,104,I,control,1027087,,
2018/bb/HoboDC105-bbJout-SN2006528.csv,2018,bb,HoboDC105,bbJout,SN2006528,DC,105,J,control,2006528,,
2018/GNA/Hobo1-gnaAinside-SN10369064.csv,2018,GNA,Hobo1,gnaAinside,SN10369064,UR,1,A,OTC,10369064,,
2018/GNA/Hobo10-gnaEinside-SN10542020.csv,2018,GNA,Hobo10,gnaEinside,SN10542020,UR,10,E,OTC,10542020,,
2018/GNA/Hobo11-gnaBoutside-SN10542017.csv,2018,GNA,Hobo11,gnaBoutside,SN10542017,UR,11,B,control,10542017,,
2018/GNA/Hobo13-gnaCinside-SN10542014.csv,2018,GNA,Hobo13,gnaCinside,SN10542014,UR,13,C,OTC,10542014,,
2018/GNA/Hobo17-gnaCoutside-SN10542018.csv,2018,GNA,Hobo17,gnaCoutside,SN10542018,UR,17,C,control,10542018,,
2018/GNA/Hobo2-gnaDinside-SN10369061.csv,2018,GNA,Hobo2,gnaDinside,SN10369061,UR,2,D,OTC,10369061,,
2018/GNA/Hobo22-gnaAoutside-SN10793186.csv,2018,GNA,Hobo22,gnaAoutside,SN10793186,UR,22,A,control,10793186,,
2018/GNA/Hobo4-gnaBinside-SN10369048.csv,2018,GNA,Hobo4,gnaBinside,SN10369048,UR,4,B,OTC,10369048,,
2018/GNA/Hobo8-gnaDoutside-SN10542007.csv,2018,GNA,Hobo8,gnaDoutside,SN10542007,UR,8,D,control,10542007,,
2019/GNA/Hobo12-gnaZoutside2019-SN10542013.csv,2019,GNA,Hobo12,gnaZoutside2019,SN10542013,UR,12,Z,control,10542013,,
2019/GNA/Hobo21-gnaXinside2019-SN10793185.csv,2019,GNA,Hobo21,gnaXinside2019,SN10793185,UR,21,X,OTC,10793185,,
2019/GNA/Hobo22-gnaZinside2019-SN10793186.csv,2019,GNA,Hobo22,gnaZinside2019,SN10793186,UR,22,Z,OTC,10793186,,
2019/GNA/Hobo27-gnaYoutside2019-SN10793179.csv,2019,GNA,Hobo27,gnaYoutside2019,SN10793179,UR,27,Y,control,10793179,,
2019/GNA/Hobo28-gnaVoutside2019-SN10793180.csv,2019,GNA,Hobo28,gnaVoutside2019,SN10793180,UR,28,V,control,10793180,,
2019/GNA/Hobo29-gnaVinside2019-SN10793181.csv,2019,GNA,Hobo29,gnaVinside2019,SN10793181,UR,29,V,OTC,10793181,,
2019/GNA/Hobo3-gnaYinside2019-SN10369065.csv,2019,GNA,Hobo3,gnaYinside2019,SN10369065,UR,3,Y,OTC,10369065,,"drop, Max/Min hourly temp not comparable"
2019/GNA/HOBO31-gnaXoutside2019-SN10793176.csv,2019,GNA,HOBO31,gnaXoutside2019,SN10793176,UR,31,X,control,10793176,,
2019/GNA/HOBO32-gnaWinside2019-SN10793182.csv,2019,GNA,HOBO32,gnaWinside2019,SN10793182,UR,32,W,OTC,10793182,,
2019/GNA/HOBO7-gnaWoutside2019-SN10542008.csv,2019,GNA,HOBO7,gnaWoutside2019,SN10542008,UR,7,W,control,10542008,,
2019/Percivals/1031723_Plot_5_warm_Percival.csv,2019,Percivals,1031723_Plot_5_warm_Percival,,,UR,,5,OTC,1031723,,"drop for now, need to average temp"
2019/Percivals/HoboDC102-SN2006529-percivals2019cool.csv,2019,Percivals,HoboDC102,SN2006529,percivals2019cool,DC,102,,control,2006529,,"drop for now, need to average temp"
2019/Percivals/HoboDC105-SN2006528-percivals2019warm.csv,2019,Percivals,HoboDC105,SN2006528,percivals2019warm,DC,105,,OTC,2006528,,"drop for now, none to compare to"
2019/SC/Hobo1-scrBoutside2019-SN10369064.csv,2019,SC,Hobo1,scrBoutside2019,SN10369064,UR,1,B,control,10369064,,
2019/SC/Hobo10-scrDinside2019-SN10542020.csv,2019,SC,Hobo10,scrDinside2019,SN10542020,UR,10,D,OTC,10542020,,
2019/SC/Hobo11-scrEoutside2019-SN10542017.csv,2019,SC,Hobo11,scrEoutside2019,SN10542017,UR,11,E,control,10542017,,
2019/SC/Hobo17-scrAinside2019-SN10542018.csv,2019,SC,Hobo17,scrAinside2019,SN10542018,UR,17,A,OTC,10542018,,
2019/SC/Hobo2-scrEinside2019-SN10369061.csv,2019,SC,Hobo2,scrEinside2019,SN10369061,UR,2,E,OTC,10369061,,
2019/SC/Hobo30-scrBinside2019-SN10793175.csv,2019,SC,Hobo30,scrBinside2019,SN10793175,UR,30,B,OTC,10793175,,
2019/SC/Hobo4-scrDoutside2019-SN10369048.csv,2019,SC,Hobo4,scrDoutside2019,SN10369048,UR,4,D,control,10369048,,
2019/SC/Hobo8-scrAoutside2019-SN10542007.csv,2019,SC,Hobo8,scrAoutside2019,SN10542007,UR,8,A,control,10542007,,
2021/GNA/DRC2-chamberLout.csv,2021,GNA,DRC2,chamberLout,,DC,2,L,control,,,
2021/GNA/Hobo24-chamberLin.csv,2021,GNA,Hobo24,chamberLin,,UR,24,L,OTC,,,
2021/GNA/Hobo28-chamberPin.csv,2021,GNA,Hobo28,chamberPin,,UR,28,P,OTC,10793180,,
2021/GNA/Hobo3-chamberRSout.csv,2021,GNA,Hobo3,chamberRSout,,UR,3,RS,control,10369065,,"drop, Max/Min hourly temp not comparable"
2021/GNA/RMBL1-chamberRin.csv,2021,GNA,RMBL1,chamberRin,,RMBL,1,R,OTC,,,
2021/GNA/RMBL10-chamberKin.csv,2021,GNA,RMBL10,chamberKin,,RMBL,10,K,OTC,,,
2021/GNA/RMBL20-chamberNin.csv,2021,GNA,RMBL20,chamberNin,,RMBL,20,N,OTC,,,
2021/GNA/RMBL3-chamberQin.csv,2021,GNA,RMBL3,chamberQin,,RMBL,3,Q,OTC,,,
2021/GNA/RMBL4-chamberMin.csv,2021,GNA,RMBL4,chamberMin,,RMBL,4,M,OTC,,,
2021/GNA/RMBL6-chamblerPQout.csv,2021,GNA,RMBL6,chamblerPQout,,RMBL,6,PQ,control,,,
2021/GNA/RMBL9-chamberMout.csv,2021,GNA,RMBL9,chamberMout,,RMBL,9,M,control,,,
2021/Maxfield/10793175-hobo30.csv,2021,Maxfield,10793175,hobo30,,UR,30,4C,OTC,10793175,932,
2021/Maxfield/Hobo_27_-_SN_10793179.csv,2021,Maxfield,Hobo_27_,_SN_10793179,,UR,27,3B,control,10793179,626,
2021/Maxfield/Hobo#1-SN10369064.csv,2021,Maxfield,Hobo#1,SN10369064,,UR,1,3A,OTC,10369064,901,"""2Anew901"""
2021/Maxfield/Hobo#10-SN10542020.csv,2021,Maxfield,Hobo#10,SN10542020,,UR,10,6A,OTC,10542020,912,
2021/Maxfield/Hobo#11-SN10542017.csv,2021,Maxfield,Hobo#11,SN10542017,,UR,11,2A,control,10542017,903,
2021/Maxfield/Hobo#12-10542013.csv,2021,Maxfield,Hobo#12,10542013,,UR,12,5B,OTC,10542013,909,
2021/Maxfield/Hobo#17-#10542018.csv,2021,Maxfield,Hobo#17,#10542018,,UR,17,2B,control,10542018,905,
2021/Maxfield/Hobo#19.csv,2021,Maxfield,Hobo#19,,,UR,19,3B,OTC,10542012,906,
2021/Maxfield/Hobo#22-SN10793186.csv,2021,Maxfield,Hobo#22,SN10793186,,UR,22,4B,OTC,10793186,173,
2021/Maxfield/Hobo#4-SN10369048.csv,2021,Maxfield,Hobo#4,SN10369048,,UR,4,5D,OTC,10369048,910,
2021/Maxfield/Hobo#8-SN10542007.csv,2021,Maxfield,Hobo#8,SN10542007,,UR,8,3D,OTC,10542007,894,
2021/Maxfield/Hobo13.csv,2021,Maxfield,Hobo13,,,UR,13,2B,OTC,10542014,184,
2021/Maxfield/Hobo21-SN10793185.csv,2021,Maxfield,Hobo21,SN10793185,,UR,21,1B,OTC,10793185,684,
2021/Maxfield/Hobo29-SN10793181.csv,2021,Maxfield,Hobo29,SN10793181,,UR,29,6C,OTC,10793181,81,
2021/Maxfield/HOBO31-10793176.csv,2021,Maxfield,HOBO31,10793176,,UR,31,1B,control,10793176,666,
2021/Maxfield/HOBO32-10793182.csv,2021,Maxfield,HOBO32,10793182,,UR,32,1C,OTC,10793182,901,
2021/Maxfield/RMBL_hobo17.csv,2021,Maxfield,RMBL_hobo17,,,RMBL,17,5B,control,,907,"drop, no check by downloaded, last record 2021-07-19"
2021/SC/Hobo14-chamberIin.csv,2021,SC,Hobo14,chamberIin,,UR,14,I,OTC,,,
2021/SC/Hobo2-ChamberHin.csv,2021,SC,Hobo2,ChamberHin,,UR,2,H,OTC,10369061,,
2021/SC/RMBL11-chamberIout.csv,2021,SC,RMBL11,chamberIout,,RMBL,11,I,control,,,
2021/SC/RMBL12-chamberBin.csv,2021,SC,RMBL12,chamberBin,,RMBL,12,B,OTC,,,
2021/SC/RMBL15-chamberEin.csv,2021,SC,RMBL15,chamberEin,,RMBL,15,E,OTC,,,
2021/SC/RMBL2-chamberBout.csv,2021,SC,RMBL2,chamberBout,,RMBL,2,B,control,,,
2021/SC/RMBL5-chamberCout.csv,2021,SC,RMBL5,chamberCout,,RMBL,5,C,control,,,
2021/SC/RMBL6-chamberHout.csv,2021,SC,RMBL6,chamberHout,,RMBL,6,H,control,,,
2021/SC/RMBL7-chamberFGout.csv,2021,SC,RMBL7,chamberFGout,,RMBL,7,F,control,,,
2021/SC/UR2-chamberGin.csv,2021,SC,UR2,chamberGin,,UR,2,G,OTC,10369061,,
2021/SC/UR3-chamberDin.csv,2021,SC,UR3,chamberDin,,UR,3,D,OTC,10369065,,
2021/SC/UR4-chamberAout.csv,2021,SC,UR4,chamberAout,,UR,4,A,control,10369048,,
2021/SC/UR5-chamberAin.csv,2021,SC,UR5,chamberAin,,UR,5,A,OTC,,,
